Type,No.,Address,City,St.,Opened,Closed
Supercenter,835,"Towne Park Plaza, 400 Eubank Boulevard Northeast",Albuquerque,NM,"September 3, 2002",
Discount Store,840,"Atrisco Plaza, 4201 Central Avenue Northwest",Albuquerque,NM,"July 2, 1985","January 26, 1990"
Discount Store,850,3821 Menaul Boulevard Northeast,Albuquerque,NM,"July 2, 1985","January 25, 1994"
Discount Store,850,2701 Carlisle Boulevard Northeast,Albuquerque,NM,"January 26, 1994","May 18, 2004"
Supercenter,850,2701 Carlisle Boulevard Northeast,Albuquerque,NM,"May 19, 2004",
Discount Store,1397,10151 Coors Bypass Northwest,Albuquerque,NM,"January 27, 1990","October 27, 1998"
Supercenter,1397,10224 Coors Bypass Northwest,Albuquerque,NM,"October 28, 1998",
Neighborhood Market,2451,4700 Cutler Avenue Northeast,Albuquerque,NM,"July 17, 2013",
Supercenter,2924,2550 Coors Boulevard Northwest,Albuquerque,NM,"May 15, 2002",
Neighborhood Market,3385,9600 Sage Road Southwest,Albuquerque,NM,"October 18, 2006",
Neighborhood Market,3512,11018 Montgomery Boulevard Northeast,Albuquerque,NM,"January 7, 2015",
Neighborhood Market,4676,1820 Unser Boulevard Northwest,Albuquerque,NM,"January 13, 2016",
Supercenter,5430,3500 Coors Boulevard Southwest,Albuquerque,NM,"May 25, 2005",
Supercenter,5491,2266 Wyoming Boulevard Northeast,Albuquerque,NM,"July 15, 2009",
Neighborhood Market,5675,11001 Menaul Boulevard Northeast,Albuquerque,NM,"September 19, 2012",
Supercenter,3427,604 North 26th Street,Artesia,NM,"September 14, 2005",
Discount Store,1414,19381 Highway 314,Belen,NM,"January 27, 1990","October 28, 1997"
Supercenter,1414,1 Interstate 25 Bypass,Belen,NM,"October 29, 1997",
Supercenter,3731,460 Highway 528,Bernalillo,NM,"March 5, 2008",
Discount Store,868,2101 South Canal Street,Carlsbad,NM,"March 5, 1986","October 13, 1998"
Supercenter,868,2401 South Canal Street,Carlsbad,NM,"October 14, 1998",
Discount Store,821,2609 North Prince Street,Clovis,NM,"October 16, 1985","September 15, 1998"
Supercenter,821,3728 North Prince Street,Clovis,NM,"September 16, 1998",
Supercenter,5166,1021 East Pine Street,Deming,NM,"August 20, 2003",
Supercenter,4201,66 State Road 344,Edgewood,NM,"March 7, 2008",
Supercenter,2656,1610 North Riverside Drive,Espanola,NM,"January 27, 1999",
Discount Store,826,"San Juan Plaza, 3000 East 20th Street",Farmington,NM,"July 2, 1985","June 16, 1992"
Discount Store,826,4600 East Main Street,Farmington,NM,"June 17, 1992","March 12, 2002"
Supercenter,826,4600 East Main Street,Farmington,NM,"March 13, 2002",
Supercenter,3428,1400 West Main Street,Farmington,NM,"May 3, 2006",
Discount Store,906,1308 West Metro Avenue,Gallup,NM,"July 15, 1986","May 18, 1999"
Supercenter,906,1650 West Maloney Avenue,Gallup,NM,"May 19, 1999",
Supercenter,2652,1000 Roberts Drive,Grants,NM,"March 17, 1999",
Discount Store,549,1822 North Turner Street,Hobbs,NM,"October 16, 1983","February 19, 2002"
Supercenter,549,3800 Lovington Highway,Hobbs,NM,"February 20, 2002",
Discount Store,806,2350 East Lohman Avenue,Las Cruces,NM,"August 30, 1985","October 28, 1997"
Supercenter,806,571 South Walton Boulevard,Las Cruces,NM,"October 29, 1997",
Supercenter,4601,3331 Rinconada Boulevard,Las Cruces,NM,"June 12, 2013",
Supercenter,5155,1550 South Valley Drive,Las Cruces,NM,"August 20, 2003",
Neighborhood Market,5782,150 North Sonoma Ranch Boulevard,Las Cruces,NM,"August 31, 2016",
Discount Store,1380,2609 7th Street,Las Vegas,NM,"December 30, 1989","October 27, 1998"
Supercenter,1380,2609 7th Street,Las Vegas,NM,"October 28, 1998",
Supercenter,3596,2250 Main Street Northwest,Los Lunas,NM,"January 22, 2003",
Supercenter,2653,1604 East Spruce Street,Portales,NM,"July 15, 1998",
Neighborhood Market,3517,1115 Highway 528,Rio Rancho,NM,"November 5, 2014",
Supercenter,3732,901 Unser Boulevard Southeast,Rio Rancho,NM,"April 19, 2006",
Discount Store,611,4501 North Main Street,Roswell,NM,"April 3, 1984","March 18, 2003"
Supercenter,611,4500 North Main Street,Roswell,NM,"March 19, 2003",
Discount Store,851,209 Highway 70 West,Ruidoso,NM,"March 4, 1986","October 14, 1997"
Supercenter,851,26180 US Highway 70,Ruidoso,NM,"October 15, 1997",
Discount Store,829,"College Plaza, 2016 Cerrillos Road",Santa Fe,NM,"July 2, 1985","January 25, 1994"
Discount Store,829,3251 Cerrillos Road,Santa Fe,NM,"January 26, 1994",
Supercenter,3423,5701 Herrera Drive,Santa Fe,NM,"October 12, 2011",
Discount Store,1357,3031 Highway 180 East,Silver City,NM,"October 31, 1989","September 15, 1998"
Supercenter,1357,2501 Highway 180 East,Silver City,NM,"September 16, 1998",
Supercenter,5492,700 North 6th Street,Socorro,NM,"January 26, 2005",
Discount Store,873,926 Paseo del Pueblo Sur,Taos,NM,"March 4, 1986",
Supercenter,4341,2001 H.R. Ashbaugh Drive,Truth or Consequences,NM,"August 13, 2008",
Discount Store,1648,4209 South Carson Street,Carson City,NV,"July 2, 1991","August 13, 2002"
Supercenter,1648,3770 South Highway 395,Carson City,NV,"August 14, 2002",
Supercenter,3408,3200 Market Street,Carson City,NV,"October 26, 2005",
Discount Store,2402,2944 Mountain City Highway,Elko,NV,"November 1, 1995","August 16, 2005"
Supercenter,2402,2944 Mountain City Highway,Elko,NV,"August 17, 2005",
Discount Store,2453,920 West Williams Avenue,Fallon,NV,"June 26, 1996","January 31, 2006"
Supercenter,2453,2333 Reno Highway,Fallon,NV,"February 1, 2006",
Supercenter,4370,1550 Newlands Drive East,Fernley,NV,"March 5, 2008",
Supercenter,5864,1511 Grant Street,Gardnerville,NV,"January 23, 2013",
Discount Store,2050,300 East Lake Mead Parkway,Henderson,NV,"January 25, 1994","October 27, 2009"
Supercenter,2050,300 East Lake Mead Parkway,Henderson,NV,"October 28, 2009",
Supercenter,2838,540 Marks Street,Henderson,NV,"January 24, 2001",
Neighborhood Market,3354,1401 American Pacific Drive,Henderson,NV,"June 29, 2005",
Discount Store,1559,201 North Nellis Boulevard,Las Vegas,NV,"October 29, 1990",
Discount Store,1560,3075 East Tropicana Avenue,Las Vegas,NV,"January 30, 1991","April 19, 2007"
Supercenter,1560,"McCarran Marketplace, 6005 South Eastern Avenue",Las Vegas,NV,"April 20, 2007",
Discount Store,1584,3625 South Rainbow Boulevard,Las Vegas,NV,"January 30, 1991","April 4, 2006"
Supercenter,1584,3615 South Rainbow Boulevard,Las Vegas,NV,"April 5, 2006",
Discount Store,1838,3041 North Rainbow Boulevard,Las Vegas,NV,"August 4, 1992",
Supercenter,2483,6973 Blue Diamond Road,Las Vegas,NV,"November 1, 2017",
Discount Store,2593,2310 East Serene Avenue,Las Vegas,NV,"January 26, 1998","October 31, 2000"
Supercenter,2593,2310 East Serene Avenue,Las Vegas,NV,"November 1, 2000",
Supercenter,2837,4350 North Nellis Boulevard,Las Vegas,NV,"August 16, 2000","January 17, 2016"
Supercenter,2884,8060 West Tropical Parkway,Las Vegas,NV,"January 24, 2001",
Supercenter,3350,5198 Boulder Highway,Las Vegas,NV,"January 22, 2007",
Supercenter,3351,6464 North Decatur Boulevard,Las Vegas,NV,"November 8, 2006",
Neighborhood Market,3355,1400 South Lamb Boulevard,Las Vegas,NV,"August 9, 2006",
Neighborhood Market,3356,7445 South Eastern Avenue,Las Vegas,NV,"July 12, 2006",
Supercenter,3473,4505 West Charleston Boulevard,Las Vegas,NV,"March 20, 2002",
Neighborhood Market,3655,10440 West Cheyenne Avenue,Las Vegas,NV,"February 23, 2006",
Neighborhood Market,3788,6310 West Charleston Boulevard,Las Vegas,NV,"July 12, 2006",
Supercenter,4356,7200 Arroyo Crossing Parkway,Las Vegas,NV,"March 19, 2008",
Supercenter,4557,3075 East Tropicana Avenue,Las Vegas,NV,"November 12, 2008",
Supercenter,5070,5200 South Fort Apache Road,Las Vegas,NV,"May 21, 2003",
Neighborhood Market,5258,5850 West Craig Road,Las Vegas,NV,"January 26, 2005",
Neighborhood Market,5259,6151 West Lake Mead Boulevard,Las Vegas,NV,"January 26, 2005",
Neighborhood Market,5269,490 East Silverado Ranch Boulevard,Las Vegas,NV,"January 26, 2005",
Neighborhood Market,5423,6570 East Lake Mead Boulevard,Las Vegas,NV,"November 30, 2005",
Supercenter,3847,1120 West Pioneer Boulevard,Mesquite,NV,"March 22, 2006",
Discount Store,2592,1807 West Craig Road,North Las Vegas,NV,"January 26, 1998","April 20, 2004"
Supercenter,2592,1807 West Craig Road,North Las Vegas,NV,"April 21, 2004",
Supercenter,3728,3950 West Lake Mead Boulevard,North Las Vegas,NV,"March 28, 2007",
Neighborhood Market,4339,5940 Losee Road,North Las Vegas,NV,"October 24, 2007",
Neighborhood Market,5306,5545 Simmons Street,North Las Vegas,NV,"January 26, 2005",
Supercenter,5101,300 South Highway 160,Pahrump,NV,"May 21, 2003",
Discount Store,2106,2863 Northtowne Lane,Reno,NV,"July 26, 1994","October 12, 2010"
Supercenter,2106,2425 East 2nd Street,Reno,NV,"October 13, 2010",
Discount Store,2189,4855 Kietzke Lane,Reno,NV,"December 30, 1995","October 28, 2003"
Supercenter,2189,4855 Kietzke Lane,Reno,NV,"October 29, 2003",
Supercenter,3254,5260 West 7th Street,Reno,NV,"January 21, 2004",
Supercenter,3277,155 Damonte Ranch Parkway,Reno,NV,"September 19, 2001",
Supercenter,4239,250 Vista Knoll Parkway,Reno,NV,"March 14, 2012",
Supercenter,3729,5065 Pyramid Lake Road,Sparks,NV,"January 23, 2006",
Discount Store,2617,3010 Potato Road,Winnemucca,NV,"January 26, 1998","May 15, 2007"
Supercenter,2617,3010 Potato Road,Winnemucca,NV,"May 16, 2007",
Discount Store,2905,250 Route 59,Airmont,NY,"January 24, 2001",
Discount Store,2152,"Crossgates Commons, 141 Washington Avenue Extension",Albany,NY,"May 17, 1994","May 20, 2008"
Supercenter,2152,"Crossgates Commons, 141 Washington Avenue Extension",Albany,NY,"May 21, 2008",
Supercenter,3607,13858 Route 31,Albion,NY,"June 14, 2006",
Discount Store,2210,2055 Niagara Falls Boulevard,Amherst,NY,"August 31, 1994","October 25, 2011"
Supercenter,2210,3290 Sheridan Drive,Amherst,NY,"October 26, 2011",
Discount Store,2146,101 Sanford Farm Shopping Center,Amsterdam,NY,"September 27, 1994","September 15, 2009"
Supercenter,2146,101 Sanford Farm Shopping Center,Amsterdam,NY,"September 16, 2009",
Discount Store,1830,297 Grant Avenue,Auburn,NY,"January 5, 1993","April 25, 2000"
Supercenter,1830,297 Grant Avenue,Auburn,NY,"April 26, 2000",
Discount Store,2088,4133 Veterans Memorial Drive,Batavia,NY,"July 25, 1995","October 30, 2007"
Supercenter,2088,4133 Veterans Memorial Drive,Batavia,NY,"October 31, 2007",
Discount Store,1976,830 County Road 64,Big Flats,NY,"July 24, 1993","March 4, 2008"
Discount Store,1993,4828 Lake Road South,Brockport,NY,"March 31, 1993","March 13, 2007"
Supercenter,1993,6265 Brockport Spencerport Road,Brockport,NY,"March 14, 2007",
Discount Store,2370,760 Hoosick Road,Brunswick,NY,"May 29, 1996","October 29, 2013"
Supercenter,2370,760 Hoosick Road,Brunswick,NY,"October 30, 2013",
Discount Store,1673,3191 County Road 10,Canandaigua,NY,"June 2, 1992","November 7, 2006"
Supercenter,1673,4238 Recreation Drive,Canandaigua,NY,"November 8, 2006",
Supercenter,2351,30 Catskill Commons,Catskill,NY,"January 19, 2007",
Discount Store,2286,161 Centereach Mall,Centereach,NY,"August 22, 1995",
Supercenter,2911,3018 East Avenue,Central Square,NY,"August 14, 2002",
Discount Store,2586,100 Thruway Plaza,Cheektowaga,NY,"January 26, 1998","April 19, 2016"
Supercenter,2586,2500 Walden Avenue,Cheektowaga,NY,"April 20, 2016",
Supercenter,5242,8064 Brewerton Road,Cicero,NY,"July 20, 2005",
Discount Store,2355,5033 Transit Road,Clarence,NY,"January 3, 1996","May 10, 2005"
Supercenter,2355,5033 Transit Road,Clarence,NY,"May 11, 2005",
Discount Store,1831,3949 Route 31,Clay,NY,"September 30, 1992","June 3, 2014"
Supercenter,1831,8770 Dell Center Drive,Clay,NY,"June 4, 2014",
Supercenter,2135,139 Merchant Place,Cobleskill,NY,"August 16, 1995",
Discount Store,5202,85 Crooked Hill Road,Commack,NY,"January 22, 2007",
Supercenter,2992,9951 Chatfield Place,Corning,NY,"September 19, 2001",
Discount Store,1781,872 Route 13,Cortland,NY,"June 2, 1992","October 12, 2010"
Supercenter,1781,819 Bennie Road,Cortland,NY,"October 13, 2010",
Supercenter,5027,4975 Transit Road,Depew,NY,"September 15, 2010",
Discount Store,1940,279 Troy Road,East Greenbush,NY,"March 2, 1993","August 17, 2004"
Supercenter,1940,279 Troy Road,East Greenbush,NY,"August 18, 2004",
Discount Store,2916,2465 Hempstead Turnpike,East Meadow,NY,"January 23, 2002",
Discount Store,2166,6438 Basile Rowe,East Syracuse,NY,"September 27, 1994","July 16, 2013"
Supercenter,2166,6438 Basile Rowe,East Syracuse,NY,"July 17, 2013",
Supercenter,5497,25737 US Route 11,Evans Mills,NY,"January 31, 2006",
Discount Store,2581,"Fairmount Fair, 3667 West Genesee Street",Fairmount,NY,"July 16, 1997","June 13, 2006"
Supercenter,2581,5399 West Genesee Street,Fairmount,NY,"June 14, 2006",
Discount Store,5295,965 Broadhollow Road,Farmingdale,NY,"March 14, 2007","September 1, 2020"
Supercenter,5295,965 Broadhollow Road,Farmingdale,NY,"September 2, 2020",
Discount Store,1810,26 West Merritt Boulevard,Fishkill,NY,"August 31, 1993","June 20, 2000"
Supercenter,1810,26 West Merritt Boulevard,Fishkill,NY,"June 21, 2000",
Discount Store,1949,10401 Bennett Road,Fredonia,NY,"March 31, 1993","May 2, 2006"
Supercenter,1949,10401 Bennett Road,Fredonia,NY,"May 3, 2006",
Supercenter,3332,1818 Route 3,Fulton,NY,"March 7, 2008",
Supercenter,2859,2150 Chili Avenue,Gates,NY,"August 22, 2001",
Discount Store,1966,4300 Lakeville Road,Geneseo,NY,"February 2, 1993","August 23, 2005"
Supercenter,1966,4235 Veteran Drive,Geneseo,NY,"August 24, 2005",
Discount Store,1731,990 Route 5 and 20,Geneva,NY,"December 31, 1991","August 17, 2010"
Supercenter,1731,990 Route 5 and 20,Geneva,NY,"August 18, 2010",
Supercenter,3583,311 Route 9W,Glenmont,NY,"January 21, 2004",
Discount Store,2116,891 Route 9,Glens Falls,NY,"September 19, 1995","October 11, 2005"
Supercenter,2116,891 Route 9,Glens Falls,NY,"October 12, 2005",
Supercenter,2874,200 Dutch Meadows Lane,Glenville,NY,"April 17, 2002",
Discount Store,1806,233 5th Avenue Extension,Gloversville,NY,"August 4, 1992","August 13, 2013"
Supercenter,1806,329 South Kingsboro Avenue Extension,Gloversville,NY,"August 14, 2013",
Discount Store,1610,"Elm Ridge Center, 100 Elm Ridge Center Drive",Greece,NY,"July 2, 1991",
Supercenter,5282,3800 Dewey Avenue,Greece,NY,"August 15, 2012",
Supercenter,2844,1549 Route 9,Halfmoon,NY,"July 18, 2001",
Discount Store,2405,4255 McKinley Parkway,Hamburg,NY,"November 1, 1995","October 27, 2009"
Supercenter,2405,5360 Southwestern Boulevard,Hamburg,NY,"October 28, 2009",
Discount Store,1619,1200 Marketplace Drive,Henrietta,NY,"April 2, 1991","March 22, 2005"
Supercenter,1619,1200 Marketplace Drive,Henrietta,NY,"March 23, 2005",
Supercenter,2285,103 North Caroline Street,Herkimer,NY,"October 13, 1999",
Discount Store,2326,1000 Route 36,Hornell,NY,"November 1, 1995",
Supercenter,1976,1400 County Road 64,Horseheads,NY,"March 5, 2008",
Discount Store,2097,351 Fairview Avenue,Hudson,NY,"March 30, 1994","September 15, 2009"
Supercenter,2097,460 Fairview Avenue,Hudson,NY,"September 16, 2009",
Supercenter,3280,1490 Hudson Avenue,Irondequoit,NY,"August 14, 2002",
Discount Store,2917,1850 Veterans Memorial Highway,Islandia,NY,"January 22, 2003",
Discount Store,5240,135 Fairgrounds Memorial Parkway,Ithaca,NY,"January 26, 2005","October 26, 2010"
Supercenter,5240,135 Fairgrounds Memorial Parkway,Ithaca,NY,"October 27, 2010",
Supercenter,5732,2 Gannett Drive,Johnson City,NY,"July 21, 2010",
Supercenter,2504,601 Frank Stottile Boulevard,Kingston,NY,"January 27, 1999",
Discount Store,1973,350 East Fairmount Avenue,Lakewood,NY,"June 1, 1993","May 23, 2006"
Supercenter,1973,350 East Fairmount Avenue,Lakewood,NY,"May 24, 2006",
Discount Store,1997,579 Troy-Schenectady Road,Latham,NY,"August 31, 1993","July 14, 2015"
Supercenter,1997,"The Shoppes at Latham Circle, 800 New Loudon Road",Latham,NY,"July 15, 2015",
Neighborhood Market,4184,3335 Hempstead Turnpike,Levittown,NY,"July 10, 2013",
Discount Store,2107,5783 South Transit Road,Lockport,NY,"October 17, 1995","January 20, 2015"
Supercenter,2107,5735 South Transit Road,Lockport,NY,"January 21, 2015",
Supercenter,5498,7155 Route 12 South,Lowville,NY,"January 23, 2006",
Supercenter,3842,425 Route 31,Macedon,NY,"May 9, 2007",
Supercenter,3334,3222 Route 11,Malone,NY,"October 18, 2006",
Discount Store,5068,200 Sunrise Mall,Massapequa,NY,"May 28, 2003","March 6, 2015"
Discount Store,1946,49 Smith Road,Massena,NY,"March 31, 1993","March 4, 2008"
Supercenter,1946,43 Stephenville Street,Massena,NY,"March 5, 2008",
Discount Store,2156,750 Middle Country Road,Middle Island,NY,"January 3, 1995",
Discount Store,2531,3133 East Main Street,Mohegan,NY,"July 15, 1998",
Supercenter,2637,288 Larkin Drive,Monroe,NY,"October 11, 2000",
Supercenter,4570,7500 Route 209,Napanoch,NY,"October 16, 2013",
Discount Store,3420,1220 Old Country Road,Nassau,NY,"January 26, 2005",
Supercenter,1677,4765 Commercial Drive,New Hartford,NY,"September 18, 2002",
Discount Store,1813,6788 Route 31 East,Newark,NY,"August 4, 1992","November 10, 2009"
Supercenter,1813,6788 Route 31 East,Newark,NY,"November 11, 2009",
Discount Store,2104,1201 Route 300,Newburgh,NY,"August 31, 1994","November 1, 2005"
Supercenter,2104,1201 Route 300,Newburgh,NY,"November 2, 2005",
Discount Store,1909,5555 Porter Road,Niagara Falls,NY,"February 2, 1993","July 14, 2009"
Supercenter,1909,1540 Military Road,Niagara Falls,NY,"July 15, 2009",
Supercenter,4597,886 Niagara Falls Boulevard,North Tonawanda,NY,"August 15, 2012",
Discount Store,2120,5396 Highway 12,Norwich,NY,"October 26, 1994","June 28, 2006"
Supercenter,2120,5396 Highway 12,Norwich,NY,"June 29, 2006",
Discount Store,2092,3000 Ford Street Extension,Ogdensburg,NY,"January 3, 1995",
Discount Store,2159,1869 Plaza Drive,Olean,NY,"July 25, 1995","October 14, 2008"
Supercenter,2159,1869 Plaza Drive,Olean,NY,"October 15, 2008",
Supercenter,2444,2024 Genesee Street,Oneida,NY,"July 17, 1996",
Supercenter,2262,5054 Highway 23,Oneonta,NY,"August 16, 1995",
Discount Store,1926,341 Route 104 East,Oswego,NY,"February 2, 1993","October 25, 2012"
Supercenter,1926,341 Route 104 East,Oswego,NY,"October 26, 2012",
Discount Store,1994,25 Consumer Square,Plattsburgh,NY,"January 4, 1994","July 13, 2004"
Supercenter,1994,25 Consumer Square,Plattsburgh,NY,"July 14, 2004",
Supercenter,3329,7494 US Highway 11,Potsdam,NY,"August 13, 2008",
Supercenter,4403,24 Quaker Ridge Boulevard,Queensbury,NY,"September 14, 2011",
Discount Store,2906,"Riverhead Plaza, 765 Old Country Road",Riverhead,NY,"January 24, 2001","January 14, 2014"
Discount Store,2906,1890 Old Country Road,Riverhead,NY,"January 15, 2014",
Supercenter,2234,5815 Rome-Taberg Road,Rome,NY,"January 25, 1995",
Discount Store,2264,1320 Altamont Avenue,Rotterdam,NY,"January 29, 1997",
